,date,bx,team,home_away,opponent,win_loss,runs,runs_allowed,innings,record,rank,games_behind_raw,win_pitcher,loss_pitcher,save_pitcher,game_time,day_night_raw,attendance,streak_raw,schedule_comment,IfWeekend,home,night_game,win_loss_new,win_total,loss_total,streak,game_duration,games_behind,actual_date,rain
0,323049600,boxscore,ATL,@,PHI,L,4,10,9,0//1,3,1.0,Nola,Teheran,,3:04,D,0.8427106824082321,-,,0,0,0,L,0,1,-1,184,0.0,"Thursday, Mar 28 1980",11.799999999999999
1,323222400,boxscore,ATL,@,PHI,L,6,8,9,0//2,4,2.0,Morgan,Parsons,,3:27,D,0.8451363489927799,--,,1,0,0,L,0,2,-2,207,0.0,"Saturday, Mar 30 1980",0.0
2,323308800,boxscore,ATL,@,PHI,L,1,5,9,0//3,5,3.0,Arrieta,Wright,,3:17,N,0.7847410411415794,---,,1,0,1,L,0,3,-3,197,0.0,"Sunday, Mar 31 1980",0.0
3,323395200,boxscore,ATL,,CHC,W,8,0,9,1//3,5,2.5,Parsons,Hendricks,,3:12,N,0.7942542022778525,+,,0,1,1,W,1,3,1,192,5.0,"Monday, Apr 1 1980",0.0
4,323568000,boxscore,ATL,,CHC,W,6,4,9,2//3,3,2.5,Jackson,Cishek,Vizcaino,3:32,N,0.7087115541321609,++,,0,1,1,W,2,3,2,212,5.0,"Wednesday, Apr 3 1980",0.0
5,323654400,boxscore,ATL,,CHC,W,9,4,9,3//3,3,1.5,Fried,Darvish,,3:29,N,0.6408118402850158,+++,,0,1,1,W,3,3,3,209,5.0,"Thursday, Apr 4 1980",0.0
6,323740800,boxscore,ATL,,MIA,W,4,0,9,4//3,3,1.5,Gausman,Lopez,,2:35,N,0.5536962989634066,++++,,1,1,1,W,4,3,4,155,5.0,"Friday, Apr 5 1980",0.0
7,323827200,boxscore,ATL,,MIA,L,2,4,9,4//4,3,2.0,Romo,Minter,Conley,3:16,N,0.6749796281907938,-,,1,1,1,L,4,4,-1,196,0.0,"Saturday, Apr 6 1980",0.0
8,323913600,boxscore,ATL,,MIA,W-wo,4,3,9,5//4,3,1.5,Vizcaino,Conley,,2:33,D,0.6168583827626068,+,,1,1,0,W,5,4,1,153,5.0,"Sunday, Apr 7 1980",0.0
9,324000000,boxscore,ATL,@,COL,W,8,6,9,6//4,3,1.5,Teheran,Freeland,Minter,2:59,N,0.4775341583126457,++,,0,0,1,W,6,4,2,179,5.0,"Monday, Apr 8 1980",0.0
10,324086400,boxscore,ATL,@,COL,W,7,1,9,7//4,2,0.5,Fried,Marquez,,3:12,N,0.4950633894900415,+++,,0,0,1,W,7,4,3,192,5.0,"Tuesday, Apr 9 1980",0.0
11,324259200,boxscore,ATL,,NYM,L,3,6,9,7//5,3,1.0,Matz,Gausman,Diaz,3:14,N,0.455096742405579,-,,0,1,1,L,7,5,-1,194,0.0,"Thursday, Apr 11 1980",0.0
12,324345600,boxscore,ATL,,NYM,L,2,6,9,7//6,3,2.0,Wheeler,Wright,,3:07,N,0.63169664007277,--,,1,1,1,L,7,6,-2,187,0.0,"Friday, Apr 12 1980",0.0
13,324432000,boxscore,ATL,,NYM,W,11,7,9,8//6,3,1.0,Toussaint,Oswalt,,3:34,N,0.7602380185336087,+,,1,1,1,W,8,6,1,214,0.0,"Saturday, Apr 13 1980",0.0
14,324518400,boxscore,ATL,,NYM,W,7,3,9,9//6,2,0.5,Teheran,deGrom,,3:36,N,0.44315791468475807,++,,1,1,1,W,9,6,2,216,5.0,"Sunday, Apr 14 1980",51.3
15,324691200,boxscore,ATL,,ARI,L,6,9,9,9//7,3,1.0,Hirano,Minter,Holland,3:36,N,0.42462430593719797,-,,0,1,1,L,9,7,-1,216,0.0,"Tuesday, Apr 16 1980",0.0
16,324777600,boxscore,ATL,,ARI,L,2,3,10,9//8,3,2.0,Bradley,Biddle,Holland,3:32,N,0.42365782940741725,--,,0,1,1,L,9,8,-2,212,0.0,"Wednesday, Apr 17 1980",0.0
17,324864000,boxscore,ATL,,ARI,L,1,4,9,9//9,4,2.0,Weaver,Soroka,Hirano,3:25,D,0.4584699349997157,---,,0,1,0,L,9,9,-3,205,0.0,"Thursday, Apr 18 1980",0.0
20,325123200,boxscore,ATL,@,CLE,W,11,5,9,11//10,2,1.0,Fried,Bieber,,3:22,N,0.3039473933559476,++,,1,0,1,W,11,10,2,202,0.0,"Sunday, Apr 21 1980",0.0
21,325296000,boxscore,ATL,@,CIN,L,6,7,9,11//11,3,1.5,Stephenson,Gausman,Iglesias,3:22,N,0.242358202732665,-,,0,0,1,L,11,11,-1,202,5.0,"Tuesday, Apr 23 1980",0.0
22,325382400,boxscore,ATL,@,CIN,W,3,1,9,12//11,3,0.5,Soroka,Roark,Minter,2:58,N,0.2453902859633497,+,,0,0,1,W,12,11,1,178,5.0,"Wednesday, Apr 24 1980",0.0
23,325468800,boxscore,ATL,@,CIN,L,2,4,9,12//12,3,1.0,Castillo,Teheran,Iglesias,2:54,N,0.28031609467679885,-,,0,0,1,L,12,12,-1,174,0.0,"Thursday, Apr 25 1980",0.0
24,325555200,boxscore,ATL,,COL,L,4,8,9,12//13,3,1.5,Senzatela,Fried,Davis,3:21,N,0.7633648543652524,--,,1,1,1,L,12,13,-2,201,5.0,"Friday, Apr 26 1980",0.0
25,325641600,boxscore,ATL,,COL,L,5,9,9,12//14,3,2.5,Shaw,Minter,,2:58,N,0.7247247436942144,---,,1,1,1,L,12,14,-3,178,5.0,"Saturday, Apr 27 1980",0.0
26,325728000,boxscore,ATL,,COL,W,8,7,9,13//14,3,2.5,Webb,Oh,Jackson,3:47,D,0.6427826943849608,+,,1,1,0,W,13,14,1,227,5.0,"Sunday, Apr 28 1980",0.0
27,325814400,boxscore,ATL,,SDP,W,3,1,9,14//14,2,2.0,Soroka,Margevicius,Webb,2:33,N,0.3667494172715041,++,,0,1,1,W,14,14,2,153,0.0,"Monday, Apr 29 1980",0.0
28,325900800,boxscore,ATL,,SDP,L,3,4,9,14//15,3,2.0,Paddack,Teheran,Yates,2:42,N,0.35297238909208056,-,,0,1,1,L,14,15,-1,162,0.0,"Tuesday, Apr 30 1980",0.0
29,325987200,boxscore,ATL,,SDP,W,5,1,9,15//15,2,2.0,Fried,Quantrill,,2:39,N,0.3864769087911463,+,,0,1,1,W,15,15,1,159,0.0,"Wednesday, May 1 1980",0.0
30,326073600,boxscore,ATL,,SDP,L,2,11,9,15//16,3,2.5,Strahm,Foltynewicz,,2:53,D,0.4499990524739904,-,,0,1,0,L,15,16,-1,173,5.0,"Thursday, May 2 1980",0.0
31,326160000,boxscore,ATL,@,MIA,W,7,2,9,16//16,2,2.5,Toussaint,Urena,,3:08,N,0.13640584434042716,+,,1,0,1,W,16,16,1,188,5.0,"Friday, May 3 1980",0.0
